,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Species
888,11-Aug--2011,2011.0,Unprovoked,USA,North Carolina,Beaufort Inlet,Swimming,M,54,Lower right leg bitten,-
889,01-Aug-2011,2011.0,Unprovoked,SEYCHELLES,Praslin,Anse Lazio ,Diving,M,36,FATAL,-
890,31-Jul-2011,2011.0,Invalid,BRAZIL,Pernambuco,Praia do Pina,Swimming,M,14,Cause of death may have been drowning; remains scavenged by sharks,Shark involvement prior to death not confirmed
891,30-Jul-2011,2011.0,Sea Disaster,PHILIPPINES,-,-,Sea disaster,M,43,The two Malabagos were bitten by sharks but survived. The other occupants of the boat  were rescued.,-
892,25-Jul-2011,2011.0,Unprovoked,USA,New Jersey,"Egg Harbor, Atlantic County",Wade Fishing,M,-,"No injury, shark bit boot",-
893,22-Jul-2011,2011.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Cintza Beach, East London",Surfing,M,29,Upper left arm & right leg bitten,"White shark, 3m to 4m"
894,19-Jul-2011,2011.0,Unprovoked,USA,North Carolina,"Ocracoke Island, Hyde County",Boogie Boarding,F,6,Lower right leg & foot bitten,-
895,15-Jul-2011,2011.0,Boating,REUNION,Saint-Gilles,Brisants. ,Kayaking or Wave skiing,M,-,No injury,-
896,13-Jul-2011,2011.0,Unprovoked,USA,Texas,"South Padre Island, Cameron County",Surf fishing,M,-,Lacerations to left foot,-
897,13-Jul-2011,2011.0,Unprovoked,BAHAMAS,Grand Bahama Island,Off Lucaya,Scuba diving,M,54,Injuries to arm,-
898,07-Jul-2011,2011.0,Unprovoked,USA,Texas,"Sunday Beach, Matagorda Island, Calhoun  County",Swimming,M,12,Foot bitten,-
899,07-Jul-2011,2011.0,Unprovoked,USA,Texas,"Mustang Island, Nueces County",Wade Fishing,M,14,Lacerations to right foot,-
900,06-Jul-2011,2011.0,Unprovoked,REUNION,Saint-Gilles,Roches Noires,Surfing,M,16,Minor injuries: scratches on nose & ankle. Board broken in two,-
901,05-Jul-2011,2011.0,Unprovoked,COLUMBIA,Sucre,"Libertad, San Onofre",Kayaking,M,17,"Right arm bitten, defense wounds to left hand",-
902,30-Jun-2011,2011.0,Unprovoked,TURKS & CAICOS,Middle Caicos,Mudjin Harbor,Snorkeling,M,28,Lacerations to left shoulder and back,-
903,29-Jun-2011,2011.0,Unprovoked,BRAZIL,Pernambuco,Praia do Pina,Surfing,M,21,Lacerations to right thigh,-
904,28-Jun-2011,2011.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Aliwal Shoal,Scuba diving,M,22,Severe lacerations to hands and  left leg,"Bull shark, 3m female"
905,26-Jun-2008,2011.0,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Playing in the surf,F,10,Ankle bitten,"Bull shark, 6'"
906,24-Jun-2011,2011.0,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,-,Shark leapt onto surfboard; surfer uninjured ,"White shark, 5' k"
907,21-Jun-2011,2011.0,Unprovoked,USA,Florida,"Perdido Key, Escambia County",Jet skiing,M,20,Lacerations to foot and ankle,-
908,19-Jun-2011,2011.0,Unprovoked,TURKS & CAICOS,Caicos Bank,French Cay,Spearfishing,M,35,Right calf bitten,5' shark
909,19-Jun-2011,2011.0,Unprovoked,COSTA RICA,Guanacaste,Playa Grande,Surfing,M,15,FATAL,-
910,15-Jun-2011,2011.0,Unprovoked,REUNION,Saint-Gilles-les-Bains,Boucan-Canot,Boogie Boarding,M,31,FATAL,-
911,Reported 14-Jun-2011,2011.0,Boating,UNITED KINGDOM,Cornwall,St. Ives,Fishing,-,-,"No injury, shark slammed into boat","Oceanic whitetip shark, 7'"
912,12-Jun-2011,2011.0,Unprovoked,USA,Florida,"Off Jupiter Inlet, Palm Beach County",Scuba diving,M,28,Lacerations to right calf,"Blacktip shark, 4'"
913,Reported 06-Jun-2011,2011.0,Unprovoked,COLUMBIA,San Andrés archipelago,Albuquerque Cay,Spearfishing,M,24,Injuries to right hand and forearm,-
914,06-Jun-2011,2011.0,Unprovoked,USA,California,"La Jolla, San Diego County",Spearfishing,M,28,"No injury, minor damage to wetsuit","Sevengill shark, 6' to 8'"
915,06-Jun-2011,2011.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,19,Puncture wound to calf,3' to 4' shark
916,01-Jun-2011,2011.0,Unprovoked,MALAYSIA,Kedah,Palau Payar,Snorkeling,F,-,Laceration to dorsum of right foot,Blacktip reef shark 
917,30-May-2011,2011.0,Unprovoked,USA,Texas,"Follett's Island, Brazoria County",Standing or boogie boardin,F,22,Lacerations & punctures to right thigh ,-
918,29-May-2011,2011.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Robberg Beach,Surfing,M,33,"No injury, board bumped by shark",White shark
919,25-May-2011,2011.0,Unprovoked,USA,Hawaii,"Lyman Beach, Kailua-Kona",Surfing,F,-,"No injury, board bitten","Tiger shark, 10'"
920,22-May-2011,2011.0,Unprovoked,USA,Hawaii,"Lyman Beach, Kailua-Kona",Paddle boarding,F,-,"No injury, board bitten",Tiger shark
921,21-May-2011,2011.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Levan Point,Spearfishing,M,28,"Thigh bitten, FATAL",Zambesi shark
922,13-May-2011,2011.0,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",Body surfing,M,86,Lacerations to left foot & ankle,-
923,21-May-2011,2011.0,Unprovoked,NEW CALEDONIA,North Province,Kendec,Kite Boarding,M,15,"Thigh bitten, FATAL"," Tiger shark, 2.8m"
924,13-May-2011,2011.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,37,Minor injury; puncture wounds to calf,-
925,10-May-2011,2011.0,Provoked,USA,Florida,Miami,Fishing ,M,-,Laceration to arm by captive shark PROVOKED INCIDENT,"Sandbar shark, 8'"
926,Reported 07-May-2011,2011.0,Invalid,UNITED ARAB EMIRATES (UAE),Umm al Qaywayan Province,Khor Fakkan ,Fishing ,M,43,"Erroneously reported on several internet sites as a ""shark attack"", it was the shark 8', 300-kg mako shark that was attacked, not the fisherman",Invalid
927,04-May-2011,2011.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Palm Beach,Spearfishing,M,37,Calf bitten,-
928,26-Apr-2011,2011.0,Unprovoked,USA,Florida,"Riviera Beach, Palm Beach County",Spearfishing,M,32,Calf bitten,"Bull shark, 12'"
929,23-Apr-2011,2011.0,Unprovoked,AUSTRALIA,Western Australia,Red Bluffs,Washing sand off a speared fish,M,17,Heel bitten,"reef shark, 1.5m"
930,22-Apr-2011,2011.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing ,M,49,Minor puncture wounds,1' to 2' shark
931,16-Apr-2011,2011.0,Unprovoked,NEW ZEALAND,South Island,Snapper Point,Surfing,M,41,Puncture to left hand,possibly a bronze whaler shark
932,13-Apr-2011,2011.0,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,-,Lacerations to forearm," Bull shark, 2.5 m"
933,08-Apr-2011,2011.0,Unprovoked,FIJI,Vitu Levu,"Malake Island, Ra Province",Diving,M,27,Minor injuries to left leg and hand,-
934,Reported 29-Mar-2011,2011.0,Provoked,USA,Texas,Matagorda Beach,"Standing, holding shark pup",M,-,Minor laceration to shoulder from captive shark PROVOKED INCIDENT,Blacktip shark pup
935,24-Mar-2011,2011.0,Unprovoked,MEXICO,Quintana Roo,"Gaviotas Beach, Cancun",Swimming,F,-,Lower leg & foot bitten,Bull shark
936,23-Mar-2011,2011.0,Unprovoked,AUSTRALIA,New South Wales,Crowdy Head,Surfing,M,48,Severe injury to left forearm,"Bull shark, 2.5m"
937,21-Mar-2011,2011.0,Unprovoked,MEXICO,Quintana Roo,-,Swimming,M,46,Right foot bitten,-
938,21-Mar-2011,2011.0,Unprovoked,FIJI,-,Nukudamu ,Diving / fishing,M,30,"Left forearm severely bitten, surgically amputated",-
939,16-Mar-2011,2011.0,Unprovoked,AUSTRALIA,New South Wales,"Jimmys Beach, Port Stephens",Wakeboarding,F,24,"Severe injuries to head, neck, shoulder & upper left arm",3 m to 4 m shark
940,Reported 10-Mar-2010,2011.0,Invalid,EGYPT,South Sinai Peninsula,Sharm-el-Sheikh,-,F,-,"Apparent drowning, and subsequent scavenging by 16' tiger shark",-
941,10-Mar-2011,2011.0,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,-,"No injury, surboard broken",-
942,Reported 28-Feb-2011,2011.0,Provoked,AUSTRALIA,Queensland,Between ,Fishing,M,36,Lacerations to right hand by hooked shark PROVOKED INCIDENT,"Bull shark, 2m"
943,23-Feb-2011,2011.0,Unprovoked,NEW CALEDONIA, Loyalty Islands,"Bay of Bweedro, Ouvéa",Spearfishing,M,21,Lacerations to left forearm,1.5 m shark
944,18-Feb-2011,2011.0,Unprovoked,REUNION,Saint Gilles ,Trois-Roches,Surfing,M,32,Left leg severed at the knee,-
945,17-Feb-2011,2011.0,Unprovoked,AUSTRALIA,South Australia,Off Perforated Island near Coffin Bay,Diving for abalone,M,49,FATAL,White shark x 2
946,13-Feb-2011,2011.0,Provoked,AUSTRALIA,Queensland,Sunshine Beach,Fishing,M,-,Lacerations to calf by hooked shark PROVOKED INCIDENT,1 m shark
947,12-Feb-2011,2011.0,Unprovoked,AUSTRALIA,Western Australia,Exmouth,Snorkeling,M,58,Arm bitten,-
948,Reported 04-Feb-2011,2011.0,Provoked,MEXICO,Colima,"Manzanillo, Revillagigedo Islands",Shark fishing on the Ricardo Astorga,M,-,Left foot bitten PROVOKED INCIDENT,-
949,02-Feb-2011,2011.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Sundays River Mouth, Port Elizabeth",Surf fishing,M,37,Right leg bitten,-
950,31-Jan-2011,2011.0,Unprovoked,MEXICO,Quintana Roo,Cancun,Swimming,F,38,"Leg, forearm & hand severely bitten",6' shark
951,28-Jan-2011,2011.0,Provoked,MEXICO,Colima,Revillagigedo Islands,Shark fishing on the Don Agustín-VI. ,M,25,Left eg bitten PROVOKED INCIDENT,-
952,26-Jan-2011,2011.0,Unprovoked,BAHAMAS,West End,Tiger Beach,Scuba diving,M,55,Arm bitten ,Caribbean reef shark
953,20-Jan-2011,2011.0,Invalid,AUSTRALIA,New South Wales,Cudgen Creek ,Swimming,F,7,Lacerations to both legs,Shark involvement not confirmed
954,15-Jan-2011,2011.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,M,16,FATAL,-
955,Reported 12-Jan 2011,2011.0,Unprovoked,MEXICO,Quintana Roo,Xcalak ,Attempting to fix motor,M,37,Bitten on leg and groin,-
956,03-Jan-2011,2011.0,Boat,AUSTRALIA,Western Australia,Busselton,Fishing,-,-,"No injury, shark nudged boat and bit propeller",White shark
957,26-Dec-2010,2010.0,Unprovoked,USA,Hawaii," Kahului, Maui",Body boarding,M,16,"Lacerations to his lower left leg, calf, foot & ankle",6' shark
958,17-Dec-2010,2010.0,Unprovoked,FIJI,Vitu Levu,Sigatoka,Surfing,M,-,Lacerations to  foot,-
959,11-Dec-2010,2010.0,Unprovoked,USA,Hawaii,"Tavares Bay, Maui",Surfing,M,46,Lacerations to right foot,-
960,05-Dec-2010,2010.0,Unprovoked,EGYPT,South Sinai Peninsula,"Middle Garden, Sharm el-Shiekh",Snorkeling,F,70,FATAL,"Oceanic whitetip shark, 2.5m "
961,Reported 03-Dec-2010,2010.0,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,-,Lacerations to right hand,-
962,01-Dec-2010,2010.0,Unprovoked,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,M,54,Both arms severely bitten,Mako shark 
963,01-Dec-2010,2010.0,Unprovoked,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,M,46,Lacerations to right leg,Mako shark
964,30-Nov-2010,2010.0,Unprovoked,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,F,70,"Foot severed, Right forearm severed, lacerations to left hand (defense wounds)","Oceanic whitetip shark, 2.5m, female"
965,30-Nov-2010,2010.0,Unprovoked,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,F,48,Foot and arm bitten,"Oceanic whitetip shark, 2.5m, female"
966,Reported 27-Nov-2010,2010.0,Unprovoked,SAMOA,-,-,Fishing,M,47,Serious wounds to chest,-
967,27-Nov-2010,2010.0,Invalid,AUSTRALIA,Western Australia,Native Dog Beach,Swimming,M,-,Death may have been due to drowning,Shark involvement not confirmed
968,19-Nov-2010,2010.0,Provoked,USA,Palmyra Atoll,-,Snorkeling,M,33,Head bitten by netted shark PROVOKED INCIDENT,-
969,15-Nov-2010,2010.0,Unprovoked,DOMINICAN REPUBLIC,-,Boca Chica,Diving,M,21,FATAL,-
970,14-Nov-2010,2010.0,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,-,Hand bitten ,-
971,Reported 12-Nov-2010,2010.0,Boat,AUSTRALIA,Western Australia,Between Carnac and Garden Islands,Fishing,M,-,No injury to occupant. Shark rammed bottom of the boat,White shark
972,30-Oct-2010,2010.0,Unprovoked,AUSTRALIA,Western Australia,Off Garden Island,Snorkeling,F,20,Torso and left buttock bitten,White shark
973,Reported 28-Oct-2010,2010.0,Unprovoked,AUSTRALIA,Western Australia,Cheynes Beach,Spearfishing,M,-,"No injury, shark head-butted diver's thigh",-
974,28-Oct-2010,2010.0,Unprovoked,USA,Oregon,Florence,Surfing,M,-,No injury to surfer,-
975,25-Oct-2010,2010.0,Provoked,AZORES,-,350 miles from Faial Island,Fishing,M,-,PROVOKED INCIDENT?  ,-
976,23-Oct-2010,2010.0,Unprovoked,USA,Maine,"Burnt Cove near Eastport, Washington County",Scuba diving,M,30,"No injury to diver, shark bit his video camera","Porbeagle shark, 8' "
977,23-Oct-2010,2010.0,Unprovoked,AUSTRALIA,Western Australia,Wedge Island,Kite Surfing,M,14,Lacerations to lower right leg,-
978,22-Oct-2010,2010.0,Unprovoked,USA,California,"Surf Beach, Vandenberg AFB, Santa Barbara County",Body boarding,M,19,FATAL,"White shark, 14' to 18' "
979,20-Oct-2010,2010.0,Unprovoked,EGYPT,South Sinai Peninsula,Sharm el-Sheikh ,Snorkeling,F,-,Multiple lacerations to left leg and foot,-
980,09-Oct-2010,2010.0,Unprovoked,AUSTRALIA,New South Wales,Mullaway Headland,Surfing,M,22,Foot bitten,"Bull shark, 1.4m "
981,02-Oct-2010,2010.0,Unprovoked,BAHAMAS,Exuma Islands,-,Snorkeling,M,-,Calf bitten,Lemon shark
982,02-Oct-2010,2010.0,Unprovoked,BAHAMAS,Abaco Islands,Elbow Cay,Surfing,F,-,Bitten between left ankle & knee,Possibly a 6' lemon shark
983,01-Oct-2010,2010.0,Unprovoked,SOUTH AFRICA,Western Cape Province,"Melkbaai, Strand",Surfing,M,Teen,3 lacerations to foot,-
984,27-Sep-2010,2010.0,Unprovoked,USA,Oregon,Winchester Bay,Surfing,M,29,"No injury, surfboard rammed",White shark
985,24-Sep-2010,2010.0,Unprovoked,USA,Virginia,Sandridge Beach,Surfing,M,18,Bite to left ankle and knee,-
986,21-Sep-2010,2010.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Between Dyer Island and Pearly Beach,Swimming,M,29,FATAL,White shark
987, 13-Sep-2010,2010.0,Unprovoked,AUSTRALIA,New South Wales,Fraser's Reef,Surfing,M,15,Lacerations and puncture wounds to leg and foot,2m shark
988,07-Sep-2010,2010.0,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Swimming,M,27,Lacerations to left wrist,3' shark
989,Reported 06-Sep-2010,2010.0,Unprovoked,TONGA,Ha'api ,-,Swimming /  Whale Watching,M,24,Puncture wounds to right foot,-
990, 04-Sep-2010,2010.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,-,"No injury, shark charged surfboard",-
991,03-Sep-2010,2010.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Lacerations to right  hand ,-
992,03-Sep-2010,2010.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Left thigh bitten,-
993,02-Sep-2010,2010.0,Unprovoked,SOLOMON ISLANDS,Western Province,-,-,M,34,Lacerations to face and neck,-
994,29-Aug-2010,2010.0,Invalid,BAHAMAS,Exuma Islands,"Off Jaws Beach, New Providence Island",Swimming after boat became disabled,M,43,"His partial remains were recovered from a 12' tiger shark on September 5, 2010. Cause of death was thought to be drowning",Shark involvement prior to death was not confirmed
995,18-Aug-2010,2010.0,Unprovoked,USA,Florida,Crescent Beach St. Johns County,Boogie Boarding,M,10,Minor injuries to foot,-
996,17-Aug-2010,2010.0,Unprovoked,AUSTRALIA,Western Australia,Cowaramup Bay,Surfing,M,31,FATAL,White shark
997,14-Aug-2010,2010.0,Boating,USA,California,"Pigeon Point, San Mateo County",Kayak Fishing,M,45,"No injury, kayak bitten",White shark
998,10-Aug-2010,2010.0,Provoked,AUSTRALIA,Queensland,"Three Mile Creek, Townsville",Fishing,F,-,Leg bitten by hooked shark PROVOKED INCIDENT,-
999,10-Aug-2010,2010.0,Unprovoked,SOUTH KOREA,Jeju Province,Jeju Island,Swimming,F,16,Lacerations to left lower leg,-
1000,08-Aug-2010,2010.0,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,Surfing,M,47,Left foot bitten,-
1001,07-Aug-2010,2010.0,Unprovoked,USA,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",Surfing,M,25,Left foot bitten,-
1002,07-Aug-2010,2010.0,Unprovoked,MALTA,-,"Off Fort St. Elmo, Valetta",Windsurfing,M,35,"No injury, sail bitten",3 m shark
1003,05-Aug-2010,2010.0,Invalid,USA,Florida,"Bethune Beach, Volusia County",Swimming,F,-,Minor abrasions to legs when she was lifted on the back of a large marine animal,Shark involvement not confirmed
1004,02-Aug-2010,2010.0,Boating,USA,California,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County",Kayaking,M,-,"No injury, kayak bitten","White shark, 15'"
1005,02-Aug-2010,2010.0,Unprovoked,USA,Florida,"Micklers Landing, St. Johns County",Standing,F,37,Lacerations to forearm,3' to 4' shark
1006,25-Jul-2010,2010.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Standing,M,16,Lacerations to right lower leg,4' shark
1007,23-Jul-2010,2010.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,20,Left foot bitten,-
1008,19-Jul-2010,2010.0,Unprovoked,USA,South Carolina,Myrtle Beach,Swimming,M,10,Minor lacerations to left calf,Possibly a small blacktip shark
1009,17-Jul-2010,2010.0,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Swimming,F,13,Lacerations to right forearm,"Sandtiger shark, 4' to 5'"
1010,17-Jul-2010,2010.0,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,55,Minor lacerations to right foot,A small spinner shark
1011,16-Jul-2010,2010.0,Provoked,SPAIN,Grand Canary Island,"Sardina del Norte, Gáldar",Swimming,M,9,Lacerations to left foot when he stepped on the shark PROVOKED INCIDENT,Angel shark
1012,16-Jul-2010,2010.0,Unprovoked,USA,Texas,Galveston,Fishing,M,-,Leg bitten,-
1013,11-Jul-2010,2010.0,Provoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Fishing,M,-,Small laceration to forearm from netted shark  PROVOKED INCIDENT,"Nurse shark, juvenile "
1014,04-Jul-2010,2010.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Two Mile Reef, Sodwana Bay",Snorkeling,F,21,Left leg bitten,-
1015,03-Jul-2010,2010.0,Provoked,USA,New York,Off Long Island,Fishing,M,20,Laceration to right bicep by hooked shark PROVOKED INCIDENT,"Blue shark, 7'"
1016,02-Jul-2010,2010.0,Unprovoked,USA,California,"Pismo Beach, San Luis  Obispo County",Surfing,M,19,Laceration to left foot,4' shark
1017,02-Jul-2010,2010.0,Unprovoked,USA,California,"Dog Patch, San Onofre",Stand-Up Paddleboarding,M,48,"No injury, board bumped by shark",8' shark
1018,27-Jun-2010,2010.0,Unprovoked,USA,Texas,"Eight Mile Beach, Galveston",Surfing,M,20,Lacerations to right foot,"Bull shark, 5'"
1019,25-Jun-2010,2010.0,Unprovoked,USA,South Carolina,Fripp Island,Boogie Boarding,F,6,Laceration to leg,-
1020,25-Jun-2010,2010.0,Unprovoked,USA,North Carolina,"Topsail Island, Pender County",Swimming,F,13,Laceration to left foot,-
1021,15-Jun-2010,2010.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,M,17,Laceration to left foot,1 m shark
1022,10-Jun-2010,2010.0,Unprovoked,USA,Florida,Jacksonville,Boogie Boarding,F,18,Lacerations to left calf and foot,4' shark
1023,06-Jun-2010,2010.0,Unprovoked,AUSTRALIA,Western Australia,"Conspicuous Beach, near Walpole",Surfing,M,40,Severe laceration to right knee,-
1024,Jun-2010,2010.0,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",Surfing,M,20,Lacerations to left foot,-
1025,30-May-2010,2010.0,Provoked,USA,Florida,Off Tarpon Springs,Fishing,M,49,Laceration to left calf by hooked shark PROVOKED INCIDENT,"Lemon shark, 4'"
1026,18-May-2010,2010.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Rescuing,F,58,Minor laceration to leg,20 to 30kg shark
1027,18-May-2010,2010.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,F,60,Severe lacerations to left foot,20 to 30kg shark
1028,18-May-2010,2010.0,Unprovoked,AUSTRALIA,New South Wales,Point Plomer,Surfing,M,-,Superficial lacerations to lower left leg,-
1029,03-May-2010,2010.0,Unprovoked,MADAGASCAR,Antsiranana Province," Ambatolaoka, Nosy Be Island",Scuba diving,M,59,Lacerations to arm & chest,-
1030,01-May-2010,2010.0,Unprovoked,USA,Florida,New Smyrna Beach,Wading,F,10,Minor puncture wounds to right ankle,4' shark
1031,28-Apr-2010,2010.0,Provoked,USA,Florida,Hanalei Bay,Measuring sharks,M,29,Arm bitten PROVOKED INCIDENT ,"Lemon shark, 6'"
1032,19-Apr-2010,2010.0,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,68,"No injury, surfboard bitten",14' shark
1033,13-Apr-2010,2010.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",Surfing,M,35,Both feet bitten,2 m shark
1034,04-Apr-2010,2010.0,Unprovoked,EGYPT,Sinai Peninsula,Sharm el-Sheikh ,Swimming / treading water,M,24,Lacerations to left ankle and foot,"Oceanic whitetip shark, 6'"
1035, 27-Mar-2010,2010.0,Unprovoked,REUNION,Saint-Benoit,Bittern,Surfing,M,34,"No injury, board bitten",1.5 m shark
1036,190Feb-2010,2010.0,Unprovoked,NEW ZEALAND,South Island,Tahunanui Beach,Swimming,M,-,Bruised but otherwise unhurt,Possibly a blue shark
1037,16-Feb-2010,2010.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Surfing,M,-,Lacerations to right leg,3 m shark
1038,15-Feb-2010,2010.0,Unprovoked,FIJI,Off Vanua Levu,Nara Reef,Scuba diving,M,19,FATAL,-
1039,13-Feb-2010,2010.0,Unprovoked,AUSTRALIA,Queensland,"Dent Island, Whitsundays",Snorkeling,F,60,Lacerations to legs & buttocks,2 m shark
1040,11-Feb-2010,2010.0,Unprovoked,AUSTRALIA,New South Wales,"Mona Vale Beach, Sydney",Surfing,M,46,"Minor injury, lacerations to left lower leg","Wobbegong shark, 1.6m"
1041,Reported 06-Feb-2010,2010.0,Provoked,NEW ZEALAND,South Island,Cosy Nook,Spearfishing,M,-,"No injury, shark bit his speargun after he used it to prod the shark PROVOKED INCIDENT",2 m to 3 m shark
1042,06-Feb-2010,2010.0,Unprovoked,AUSTRALIA,New South Wales,Turners' Beach,Body boarding,M,18,"No injury, shark & board collided","White shark, 2.5m"
1043,06-Feb-2010,2010.0,Provoked,USA,Florida,Riviera Beach,Surf fishing / wading,M,-,Leg bitten while trying to free a hooked shark PROVOKED INCIDENT,"Spinner shark, 6'"
1044,04-Feb-2010,2010.0,Invalid,GUAM,Merizo,Achang Reef,Spearfishing (free diving),M,31,Shark bites were post-mortem,Invalid
1045,03-Feb-2010,2010.0,Unprovoked,USA,Florida,"Stuart, Martin County",Kite Boarding,M,38,FATAL,-
1046,01-Feb-2010,2010.0,Provoked,NEW ZEALAND,South Island,Oreti Beach,Boogie Boarding,F,14,Stepped on shark PROVOKED INCIDENT,1.5 m shark
1047,31-Jan-2010,2010.0,Unprovoked,BRAZIL,Rio Grande Do Sul,"Atlantis Beach, near Tramandai",Surfing,M,29,Foot bitten,Thought to involve a juvenile hammerhead shark
1048,27-Jan-2010,2010.0,Unprovoked,AUSTRALIA,Queensland,Archie's Beach,Surfing,M,-,"No injury, surfboard bitten",-
1049,22-Jan-2010,2010.0,Unprovoked,UNITED ARAB EMIRATES (UAE),Dubai,"Umm Suqeim Beach, Dubai",Surfing,M,54,Laceration to bottom of foot,-
1050,22-Jan-2010,2010.0,Unprovoked,AUSTRALIA,Victoria,Geelong,Surfing,M,-,Lacerations to right hand ,-
1051,12-Jan-2010,2010.0,Unprovoked,SOUTH AFRICA,Western Province,Fish Hoek,Standing,M,37,FATAL,White shark
1052,09-Jan-2010,2010.0,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,Snorkeling,F,9,2 sets of minor lacerations below her right knee,"Whitetip reef shark, 1m"
1053,09-Jan-2010,2010.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,-,F,-,Minor injuries,-
1054,09-Jan-2010,2010.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,-,M,-,Right wrist bitten,-
1055,09-Jan-2010,2010.0,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Bathing,M,-,Left arm bitten twice,-
1056,06-Jan-2010,2010.0,Unprovoked,USA,Florida,Elliot Key,Spearfishing,M,32,Lacerations to  arm,-
1057,05-Jan-2010,2010.0,Unprovoked,SOUTH AFRICA,Eastern Province,"Nahoon, East London",Surfing,M,-,"No injury, reportedly knocked of his board by a shark",-
1058,29-Dec-2009,2009.0,Unprovoked,SOUTH AFRICA,Eastern Cape  Province,Port Alfred,Wading,M,20,Lacerations to  left foot,-
1059,26-Dec-2009,2009.0,Provoked,AUSTRALIA,New South Wales,Avoca Beach,Swimming,M,55,Lacerations to lower left leg after stepping on the shark                 PROVOKED INCIDENT,-
1060,22-Dec-2009,2009.0,Unprovoked,MOZAMBIQUE,Maputo Province,Ponta do Ouro,Swimming,M,27,Multiple lacerations to right torso & arm. Defense wounds on  hands,"Zambesi shark, 2m "
1061,20-Dec-2009,2009.0,Boating,AUSTRALIA,Queensland,Mudjimba Island,Kayaking,M,-,"No injury to occupants, kayak bumped by shark",-
1062,20-Dec-2009,2009.0,Unprovoked,AUSTRALIA,Queensland,Lamont Reef,Spearfishing,M,18,Lacerations to hand & forearm,"Bull shark, 3m"
1063,18-Dec-2009,2009.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",Paddling on kneeboard,M,22,FATAL,-
1064,18-Dec-2009,2009.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",Surfing,M,-,"Minor lacerations to left leg. nitially reported as a shark bite, but involved a barracuda",No shark involvement
1065,16-Dec-2009,2009.0,Unprovoked,NEW ZEALAND,South Island,Clark Island,Swimming to shore from capsized kayak,M,24,FATAL,"White shark, 2.8 to 3 m "
